'Elapsed time','I','II','III','AVR','AVL','AVF','V1','V2','V3','V4','V5','V6'
'0:00.000',3.324,10.3,10.599,-4.975,-4.87,10.496,6.144,2.798,6.996,7.239,2.056,-1.181
'0:00.004',3.33,10.291,10.584,-4.974,-4.859,10.484,6.166,2.822,6.961,7.255,2.053,-1.205
'0:00.008',3.304,10.294,10.614,-4.963,-4.888,10.5,6.18,2.844,6.998,7.242,2.03,-1.238
'0:00.012',3.321,10.278,10.58,-4.963,-4.862,10.476,6.19,2.852,6.969,7.233,2.019,-1.257
'0:00.016',3.347,10.268,10.545,-4.971,-4.831,10.452,6.181,2.838,6.939,7.238,2.021,-1.251
'0:00.019',3.354,10.275,10.544,-4.978,-4.827,10.455,6.185,2.852,6.952,7.261,2.05,-1.214
'0:00.023',3.349,10.288,10.563,-4.982,-4.84,10.472,6.182,2.846,6.976,7.259,2.052,-1.214
'0:00.027',3.342,10.319,10.6,-4.994,-4.862,10.506,6.178,2.842,7.018,7.246,2.029,-1.243
'0:00.031',3.331,10.308,10.6,-4.984,-4.866,10.5,6.179,2.845,7.012,7.234,2.021,-1.249
'0:00.035',3.331,10.283,10.575,-4.971,-4.854,10.476,6.191,2.852,6.957,7.244,2.034,-1.232
'0:00.039',3.357,10.266,10.532,-4.975,-4.819,10.446,6.19,2.852,6.94,7.265,2.055,-1.214
'0:00.043',3.348,10.279,10.554,-4.977,-4.836,10.463,6.19,2.851,6.989,7.275,2.067,-1.193
'0:00.047',3.332,10.3,10.591,-4.98,-4.862,10.492,6.194,2.844,6.993,7.252,2.037,-1.234
'0:00.051',3.348,10.304,10.579,-4.989,-4.848,10.488,6.19,2.849,6.986,7.252,2.034,-1.246
'0:00.054',3.346,10.293,10.571,-4.983,-4.844,10.478,6.193,2.851,6.969,7.248,2.03,-1.246
'0:00.058',3.338,10.279,10.564,-4.972,-4.845,10.468,6.186,2.849,6.964,7.27,2.058,-1.208
'0:00.062',3.338,10.295,10.58,-4.98,-4.853,10.484,6.187,2.845,7.001,7.285,2.078,-1.18
'0:00.066',3.329,10.329,10.623,-4.992,-4.88,10.523,6.181,2.841,7.033,7.27,2.07,-1.191
'0:00.070',3.347,10.329,10.606,-5.002,-4.862,10.514,6.182,2.839,7.02,7.253,2.056,-1.208
'0:00.074',3.363,10.314,10.574,-5.002,-4.838,10.491,6.179,2.841,7.005,7.256,2.061,-1.194
'0:00.078',3.351,10.289,10.562,-4.984,-4.838,10.472,6.187,2.845,6.982,7.29,2.103,-1.155
'0:00.082',3.351,10.296,10.569,-4.987,-4.841,10.478,6.19,2.846,6.964,7.304,2.113,-1.138
'0:00.086',3.345,10.328,10.606,-5,-4.863,10.513,6.179,2.836,7.01,7.279,2.088,-1.168
'0:00.089',3.34,10.34,10.623,-5.004,-4.874,10.528,6.182,2.839,7.013,7.266,2.069,-1.192
'0:00.093',3.349,10.331,10.606,-5.004,-4.861,10.515,6.177,2.84,7.018,7.269,2.077,-1.182
'0:00.097',3.353,10.319,10.59,-4.999,-4.851,10.5,6.183,2.856,7.012,7.289,2.109,-1.145
'0:00.101',3.343,10.321,10.601,-4.995,-4.862,10.507,6.186,2.858,6.964,7.314,2.13,-1.117
'0:00.105',3.322,10.343,10.645,-4.996,-4.893,10.54,6.185,2.847,7.033,7.304,2.118,-1.137
'0:00.109',3.328,10.358,10.654,-5.007,-4.895,10.552,6.179,2.843,7.037,7.288,2.093,-1.162
'0:00.113',3.346,10.352,10.629,-5.012,-4.874,10.537,6.18,2.846,7.043,7.288,2.091,-1.163
'0:00.117',3.352,10.332,10.604,-5.006,-4.859,10.515,6.186,2.863,7.01,7.313,2.12,-1.133
'0:00.121',3.345,10.347,10.625,-5.01,-4.872,10.532,6.183,2.859,7.028,7.332,2.15,-1.091
'0:00.125',3.32,10.353,10.656,-5,-4.9,10.55,6.198,2.883,7.02,7.347,2.163,-1.08
'0:00.128',3.346,10.37,10.647,-5.021,-4.883,10.555,6.186,2.871,7.049,7.331,2.143,-1.096
'0:00.132',3.37,10.368,10.622,-5.033,-4.858,10.541,6.183,2.868,7.061,7.331,2.148,-1.093
'0:00.136',3.373,10.353,10.603,-5.026,-4.847,10.524,6.186,2.886,7.045,7.346,2.168,-1.067
'0:00.140',3.36,10.355,10.619,-5.021,-4.862,10.533,6.192,2.888,7.034,7.373,2.192,-1.04
'0:00.144',3.355,10.386,10.654,-5.035,-4.882,10.567,6.2,2.904,7.04,7.397,2.223,-1.026
'0:00.148',3.323,10.397,10.697,-5.023,-4.919,10.594,6.21,2.908,7.066,7.387,2.202,-1.049
'0:00.152',3.357,10.394,10.66,-5.039,-4.884,10.573,6.213,2.921,7.088,7.392,2.198,-1.055
